Serving_Name,Ingredient_1,Ratio_1,Ingredient_2,Ratio_2,Ingredient_3,Ratio_3,Ingredient_4,Ratio_4,Ingredient_5,Ratio_5,Ingredient_6,Ratio_6,Cooking_Time_Min,Utensils
Hähnchenbrust mit Tomatensoße,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",0.80,"Tomato products, canned, sauce",0.15,"Oil, olive, salad or cooking",0.05,,,,,,,20,2
Hähnchen-Reis-Brokkoli,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",0.35,"Rice, white, long-grain, regular, enriched, cooked",0.40,"Broccoli, raw",0.20,"Oil, olive, salad or cooking",0.05,,,,,30,2
Hähnchen-Pasta,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",0.30,"Pasta, cooked, enriched, without added salt",0.45,"Tomato products, canned, sauce",0.20,"Cheese, parmesan, grated",0.05,,,,,25,2
Hackfleisch in Tomatensoße,"Beef, ground, 90% lean meat / 10% fat, raw",0.65,"Tomato products, canned, sauce",0.25,"Onions, raw",0.05,"Oil, olive, salad or cooking",0.05,,,,,25,2
Rind-Reis-Paprika-Pfanne,"Beef, ground, 90% lean meat / 10% fat, raw",0.35,"Rice, white, long-grain, regular, enriched, cooked",0.35,"Peppers, sweet, red, raw",0.15,"Onions, raw",0.10,"Oil, olive, salad or cooking",0.05,,,30,2
Puten-Reis-Erbsen-Pfanne,"Turkey, Ground, cooked",0.35,"Rice, white, long-grain, regular, enriched, cooked",0.40,"Peas, green, frozen, cooked, boiled, drained, without salt",0.20,"Oil, olive, salad or cooking",0.05,,,,,20,2
Lachs mit Kartoffeln und Spinat,"Fish, salmon, pink, raw",0.40,"Potatoes, boiled, cooked without skin, flesh, without salt",0.35,"Spinach, raw",0.18,"Oil, olive, salad or cooking",0.05,"Lemon juice, raw",0.02,,,35,3
Kabeljau mit Reis und Brokkoli,"Fish, cod, Atlantic, cooked, dry heat",0.40,"Rice, white, long-grain, regular, enriched, cooked",0.35,"Broccoli, raw",0.20,"Oil, olive, salad or cooking",0.03,"Lemon juice, raw",0.02,,,30,3
Thunfisch-Pasta,"Fish, tuna, light, canned in water, drained solids",0.30,"Pasta, cooked, enriched, without added salt",0.45,"Tomato products, canned, sauce",0.15,"Onions, raw",0.05,"Oil, olive, salad or cooking",0.05,,,20,2
Schweinefilet mit Kartoffeln und Karotten,"Pork, fresh, loin, tenderloin, separable lean only, raw",0.45,"Potatoes, boiled, cooked without skin, flesh, without salt",0.35,"Carrots, raw",0.15,"Oil, olive, salad or cooking",0.05,,,,,40,2
