Source ID,DWD ID,Lat,Lon,Height,Name,Distance,From,To
8464,14157,49.5686,8.7013,168,Birkenau,3631,1/1/10,9/17/26
184401,5906,49.5063,8.5584,97.95,Mannheim,8807,4/3/18,9/17/26
8160,2900,49.709,8.6908,208.3,Lautertal/Odenwald-Reichenbach,17839,1/1/10,9/17/26
128157,15514,49.3767,8.6177,105.5,Heidelberg-Kurpfalzhof,19533,11/1/17,9/17/26
234403,3448,49.3945,8.8045,117,Neckargemünd-Kleingemünd,20221,6/10/10,9/17/26
7307,5692,49.6051,8.3659,88,Worms,22097,1/1/10,9/17/26
9043,7391,49.5561,8.9669,442.6,Oberzent-Beerfelden-Vogelherd,22174,2/1/12,9/17/26
334431,14016,49.5871,8.3414,98,Kleinniedesheim,23369,12/2/16,9/17/26
334424,14009,49.401,8.3478,110,Schifferstadt,28019,12/12/16,9/17/26
133294,3284,49.6692,9.0085,240,Michelstadt,28426,1/1/10,9/17/26
7406,13674,49.2943,8.9053,236.63,Waibstadt,33552,1/1/10,9/17/26
334433,14018,49.5189,8.1875,180,Dackenheim/Pfalz,34311,7/1/16,9/17/26
8088,1870,49.5665,8.178,160,Grünstadt,34854,1/1/10,9/17/26
6935,1072,49.4719,8.1929,107,"Dürkheim, Bad",34864,1/1/10,9/17/26
128152,5275,49.2445,8.5374,104.5,Waghäusel-Kirrlach,35149,1/1/10,9/17/26
204147,3287,49.7177,9.0997,452.83,Michelstadt-Vielbrunn,36790,1/1/10,9/17/26
6920,917,49.8809,8.6779,162,Darmstadt,36858,1/1/10,9/17/26
334421,14006,49.3683,8.1854,145,Mußbach (Neustadt),39855,9/16/16,9/17/26
8084,1814,49.9052,8.4459,87,Groß-Gerau-Wallerstädten,42436,1/1/10,9/17/26
6859,150,49.7273,8.1164,215,Alzey,43878,1/1/10,9/17/26
334527,6285,49.6546,9.2609,420,Amorbach-Neudorf,44888,1/1/10,9/17/26
